Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
8.9200;2.7079;0.6656;17.6449
8.9400;2.7445;0.6692;17.6450
8.9600;2.6415;0.2876;17.6450
8.9800;2.6982;0.6750;17.6451
9.0000;2.7386;0.6875;17.6451
9.0200;2.6280;0.2750;17.6452
9.0400;2.6898;0.6933;17.6452
9.0600;2.7263;0.6831;17.6453
9.0800;2.6085;0.2571;17.6453
9.1000;2.6668;0.6794;17.6453
9.1200;2.7038;0.6780;17.6454
9.1400;2.5750;0.2171;17.6454
9.1600;2.6351;0.6677;17.6454
9.1800;2.5121;0.1771;17.6454
9.2000;2.5754;0.6250;17.6455
9.2200;2.6103;0.6068;17.6454
9.2400;2.4796;0.1446;17.6455
9.2600;2.5442;0.6122;17.6455
9.2800;2.5848;0.6085;17.6455
9.3000;2.4540;0.1343;17.6455
9.3200;2.5135;0.5862;17.6455
9.3400;2.5496;0.5796;17.6456
9.3600;2.4143;0.1006;17.6455
9.3800;2.4793;0.5786;17.6455
9.4000;2.5152;0.5598;17.6455
9.4200;2.3777;0.0747;17.6455
9.4400;2.4446;0.5630;17.6457
9.4600;2.3091;0.0204;17.6456
9.4800;2.3715;0.4907;17.6455
9.5000;2.4094;0.4830;17.6456
9.5200;2.2748;0.0023;17.6456
9.5400;2.3376;0.4720;17.6456
9.5600;2.3748;0.4613;17.6456
9.5800;2.2337;-0.0377;17.6456
9.6000;2.2980;0.4498;17.6456
9.6200;2.3370;0.4411;17.6456
9.6400;2.1993;-0.0510;17.6456
9.6600;2.2627;0.4263;17.6456
9.6800;2.3011;0.4181;17.6456
9.7000;2.1609;-0.0808;17.6456
9.7200;2.2264;0.4082;17.6456
9.7400;2.2706;0.4132;17.6456
9.7600;2.1295;-0.1005;17.6456
9.7800;2.1944;0.3885;17.6456
9.8000;2.0555;-0.1606;17.6456
9.8200;2.1206;0.3241;17.6456
9.8400;2.1601;0.3154;17.6456
9.8600;2.0268;-0.1650;17.6456
9.8800;2.0927;0.3107;17.6456
9.9000;2.1337;0.3048;17.6456
9.9200;1.9995;-0.1814;17.6456
